Question,Option 1,Option 2,Option 3,Option 4,Answer,Solution ,subid,
 Express a speed of 36 kmph in meters per second?,10 mps,12 mps,14 mps,17mps,1,36 * 5/18 = 10 mps,APTTADENL,TADENL001
 Express 25 mps in kmph?,15 kmph,99 kmph, 90 kmph,None,3,25 * 18/5 = 90 kmph,APTTADENL,TADENL002
 The speed of a train is 90 kmph. What is the distance covered by it in 10 minutes?,15 kmph, 12 kmph,10 kmph, 5 kmph,1,90 * 10/60 = 15 kmph,APTTADENL,TADENL003
 A car covers a distance of 624 km in 6 ½ hours. Find its speed?, 104 kmph,140 kmph,104 mph, 10.4 kmph,1,624/6 = 104 kmph,APTTADENL,TADENL004
 In what time will a railway train 60 m long moving at the rate of 36 kmph pass a telegraph post on its way?,9sec,8sec,7sec,6sec,4,T = 60/36 * 18/5 = 6 sec,APTTADENL,TADENL005
A train 240 m in length crosses a telegraph post in 16 seconds. The speed of the train is?,50 kmph,52 kmph,54kmph,56kmph,3,S = 240/16 * 18/5 = 54 kmph,APTTADENL,TADENL006
The speed of a car is 90 km in the first hour and 60 km in the second hour. What is the average speed of the car?,72kmph,75 kmph,30 kmph,80 kmph,4,Speed Ratio = 1:4/5 = 5:4 ::: Time Ratio = 4:51 -------- 5 4 --------- ? ¨ :::  20,APTTADENL,TADENL007
" If a train, travelling at a speed of 90 kmph, crosses a pole in 5 sec, then the length of train is?",104m,125m,140m,152m,2,D = 90 * 5/18 * 5 = 125 m,APTTADENL,TADENL008
 A 180 meter long train crosses a man standing on the platform in 6 sec. What is the speed of the train?,90kmph,108kmph,120kmph,88kmph,2,S = 180/6 * 18/5 = 108 kmph,APTTADENL,TADENL009
How long does a train 165 meters long running at the rate of 54 kmph take to cross a bridge 660 meters in length?,45sec,55sec,75sec,54sec,2,"
T = (660 + 165)/54 * 18/5 T=55 sec",APTTADENL,TADENL010
"A train passes a man standing on the platform. If the train is 170 meters long and its speed is 72 kmph, how much time it took in doing so?",10 ½ sec,9 ½ sec, 8 ¾ sec,8 ½ sec,4,D = 170   S = 72 * 5/18 = 20 mps  :::  T = 170/20 = 8 ½ sec,APTTADENL,TADENL011
 A train 540 meters long is running with a speed of 54 kmph. The time taken by it to cross a tunnel 180 meters long is?,40 sec,44sec ,48sec,52sec,3,D = 540 + 180 = 720   S = 54 * 5/18 = 15 mps     ::: T = 720/15 = 48 sec,APTTADENL,TADENL012
 A train 100 m long crosses a platform 125 m long in 15 sec; find the speed of the train?,45kmph,50kmph,54kmph,60kmph,3,D = 100 + 125 = 225    T = 15     :::  S = 225/15 * 18/5 = 54 kmph,APTTADENL,TADENL013
A train 150 m long running at 72 kmph crosses a platform in 25 sec. What is the length of the platform?,300m,500m,350m,250m,3,D = 72 * 5/18 = 25 = 500 “ 150 = 350m,APTTADENL,TADENL014
What distance will be covered by a bus moving at 72 kmph in 30 seconds?,250m,600m,750m,400m,2,72 kmph = 72 * 5/18 = 20 mps     :::  D = Speed * time = 20 * 30 = 600 m.,APTTADENL,TADENL015
" In how much time will a train of length 100 m, moving at 36 kmph cross an electric pole?",15sec,22sec,18sec,10sec,4,36 kmph = 36 * 5/18 = 10 mps.,APTTADENL,TADENL016
A man goes from A to B at a speed of 20 kmph and comes back to A at a speed of 30 kmph. Find his average speed for the entire journey?,20kmph,24kmph,50kmph,35kmph,2,Average Speed = (2d)/[(d/20) + (d/30)]  = (2d)/[5d/60) => 24 kmph.,APTTADENL,TADENL017
 Convert the 13/36 m/s into kilometers per hour?,1.5 kmph,1.4 kmph,1.3 kmph,1.2 kmph,3,13/36 m/s = 13/36 * 18/5 = 13/10 = 1.3 kmph.,APTTADENL,TADENL018
" If a man can cover 12 metres in one second, how many kilometres can he cover in 3 hours 45 minutes?",168 km,162  km,150  km,156  km,2,12 m/s = 12 * 18/5 kmph   :::   3 3/4 hours = 15/4 hours  = 12 * 18/5 * 15/4 km = 162 km.,APTTADENL,TADENL019
A trained covered x km at 40 kmph and another 2x km at 20 kmph. Find the average speed of the train in covering the entire 3x km.,30kmph,24kmph,25kmph,28kmph,2, x/40 + 2x/20 hours  = 5x/40 = x/8 hours   :::   Average speed = 3x/(x/8) = 24 kmph,APTTADENL,TADENL020
 A train running at a speed of 36 kmph crosses an electric pole in 12 seconds. In how much time will it cross a 350 m long platform?,44sec,49sec,42sec,47sec,4,"So, x = 12 * 36 * 5 /18 m = 120 m. :::   = (120 +350)/ 36 * 5/18 = 47 min.",APTTADENL,TADENL021
" In a 1000 m race, A beats B by 50 m and B beats C by 100 m. In the same race, by how many meters does A beat C?",145 m,150 m,155 m,160 m,2, B covers (1000 - 50) = 950 m. :::  C covers (1000 - 100) = 900 m 1000 - 855 = 145 m.,APTTADENL,TADENL022
" In a 1000 m race, A beats B by 200 meters or 25 seconds. Find the speed of B?",8 m/s, 25 m/s,10 m/s, 15 m/s,1,200/25 = 8 m/s.,APTTADENL,TADENL023
" A person travels equal distances with speeds of 3 km/hr, 4 km/hr and 5 km/hr and takes a total time of 47 minutes. The total distance is?",' 2 km,3 km,4 km,5 km,2,"3x km Then, x/3 + x/4 + x/5 = 47/60  47x/60 = 47/60 => x = 1.  :::  Total distance = 3 * 1 = 3 km.",APTTADENL,TADENL024
A person travels from P to Q a speed of 40 km/hr and returns by increasing his speed by 50%. What is his average speed for both the trips?,36 km/hr,45 km/hr,48 km/hr,50 km/hr,3, = 150% of 40 = 60 km/hr.  :::   Average speed = (2 * 40 * 60)/(40 + 60) = 48 km/hr.,APTTADENL,TADENL025
 A man on tour travels first 160 km at 64 km/he and the next 160 km at 80 km/hr. The average speed for the first 320 km of the tour is?,35.55 km/hr, 36 km/hr,71.11 km/hr,71 km/hr,3,   = (160/64 + 160/8) = 9/2 hrs  ::: Average speed = 320 * 2/9 = 71.11 km/hr.,APTTADENL,TADENL026
". Excluding stoppages, the speed of a bus is 54 km/hr and including stoppages, it is 45 km/hr. For how many minutes does the bus stop per hour?",9 min,10 min,12 min,20 min,2,Time taken to cover 9 km = 9/54 * 60 = 10 min.,APTTADENL,TADENL027
" If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance traveled by him is?", 50 km,56 km,70 km,80 km,1,x/10 = (x + 20)/14  4x - 200 =>x = 50 km.,APTTADENL,TADENL028
Running at a speed of 60km/h a train passed through a 1.5 km long tunnel in 2 min. What is the length of the train?,250m,500m,1000m,1500m,2,60 km/h = 60 x 1000 = 60000m/h  = 2min = (1/30)  :::  hence the length of the train =500m ,APTTADENL,TADENL029
 A train is moving at a speed of 180 km/hr. It's speed is,5m/sec,30m/sec,40m/sec,50m/sec,4,180km/hr = (180 x 5/18)m/sec = 50sec,APTTADENL,TADENL030
