Questions ,Option  1,Option  2,Option  3,Option  4,Answer ,Solution,sid,qid
A and B complete a work in 6 days. A alone can do it in 10 days. If both together can do the work in how many days?,3.75 days, 4 days,5 days,6 days,1,1/6 + 1/10 = 8/30 = 4/15  15/4 = 3.75 days,APTTAWENL,TAWENL001
" A and B together can do a piece of work in 8 days. If A alone can do the same work in 12 days, then B alone can do the same work in?",20 days,16 days,24 days,28 days,3,B = 1/8 “ 1/2 = 1/24 => 24 days,APTTAWENL,TAWENL002
 A can do a piece of work in 30 days. He works at it for 5 days and then B finishes it in 20 days. In what time can A and B together it?,2 days,1 ½ days,3 days,3 ½ days,2,3/20 * 2 + (2 + x)/5 = 1   ::: x = 1 ½ days,APTTAWENL,TAWENL003
 A can do a piece of work in 30 days. He works at it for 5 days and then B finishes it in 20 days. In what time can A and B together it?,16 2/3 days, 13 1/3 days,17 1/3 days,16 1/2 days,2,5/30 + 20/x = 1 x = 24  1/30 + 1/24 = 3/40 40/3 = 13 1/3 days,APTTAWENL,TAWENL004
"A and B can do a piece of work in 3 days, B and C in 4 days, C and A in 6 days. How long will C take to do it?",18 days,20 days,24 days,30 days,3,2c = ¼ + 1/6 “ 1/3 = 1/12   c = 1/24 => 24 days,APTTAWENL,TAWENL005
A can do a piece of work in 10 days. He works at it for 4 days and then B finishes it in 9 days. In how many days can A and B together finish the work?,6 days, 8 days, 8 ½ days, 7 ½ days,1,4/10 + 9/x = 1 :::  x = 15   1/10 + 1/15 = 1/6 => 6 days,APTTAWENL,TAWENL006
A work which could be finished in 9 days was finished 3 days earlier after 10 more men joined. The number of men employed was?, 18,20, 22,24,2,(x + 10) ---- 6  x * 9 = (x + 10)6   x = 20,APTTAWENL,TAWENL007
 A and B can do a piece of work in 7 days. With the help of C they finish the work in 5 days. C alone can do that piece of work in?,1 day,10 days,30 days,32 days,3,C = 1/5 “ 1/6 = 1/30 :::  30 days,APTTAWENL,TAWENL008
Ravi can do a piece of work in 30 days while Prakash can do it in 40 days. In how many days will they finish it together?, 17 1/7 days,27 1/7 days,23 2/7 days,16 4/11 days,1,1/30 + 1/40 = 7/120  :::  120/7 = 17 1/7 days,APTTAWENL,TAWENL009
Anil can do a work in 15 days while Sunil can do it in 25 days. How long will they take if both work together?,3 4/9 days, 8 4/9 days,9 3/8 days, 6 3/8 days,3,1/15 + 1/25 = 8/75   75/8 = 9 3/8 days,APTTAWENL,TAWENL010
